Voltage (V)	Current (pA)
0.676	16.174
0.677	16.174
0.678	16.174
0.679	16.174
0.680	16.174
0.681	16.479
0.682	16.479
0.683	16.174
0.684	16.174
0.685	15.869
0.686	16.174
0.687	16.174
0.688	16.174
0.689	16.174
0.690	16.174
0.691	16.174
0.692	16.174
0.693	16.174
0.694	16.174
0.695	16.174
0.696	16.174
0.697	16.174
0.698	16.479
0.699	16.479
0.700	16.174
0.701	16.174
0.702	16.174
0.703	16.479
0.704	16.479
0.705	16.174
0.706	16.174
0.707	16.174
0.708	16.479
0.709	16.479
0.710	16.479
0.711	16.479
0.712	16.174
0.713	16.174
0.714	16.174
0.715	16.479
0.716	16.479
0.717	16.479
0.718	16.479
0.719	16.174
0.720	16.479
0.721	16.479
0.722	16.174
0.723	16.174
0.724	16.174
0.725	16.479
0.726	16.479
0.727	16.479
0.728	16.479
0.729	16.174
0.730	16.174
0.731	16.174
0.732	16.479
0.733	16.479
0.734	16.479
0.735	16.479
0.736	16.174
0.737	16.174
0.738	16.174
0.739	16.479
0.740	16.479
0.741	16.174
0.742	16.479
0.743	16.479
0.744	16.174
0.745	16.174
0.746	16.174
0.747	16.479
0.748	16.479
0.749	16.479
0.750	16.479
0.751	16.479
0.752	16.479
0.753	16.174
0.754	16.479
0.755	16.479
0.756	16.479
0.757	16.479
0.758	16.174
0.759	16.479
0.760	16.479
0.761	16.785
0.762	16.785
0.763	16.479
0.764	16.479
0.765	16.479
0.766	16.479
0.767	16.479
0.768	16.479
0.769	16.479
0.770	16.479
0.771	16.479
0.772	16.479
0.773	16.785
0.774	16.785
0.775	16.479
0.776	16.479
0.777	16.479
0.778	16.479
0.779	16.479
0.780	16.479
0.781	16.479
0.782	16.479
0.783	16.479
0.784	16.479
0.785	16.479
0.786	16.479
0.787	16.174
0.788	16.785
0.789	16.785
0.790	16.785
0.791	16.785
0.792	16.479
0.793	16.479
0.794	16.479
0.795	16.785
0.796	16.785
0.797	16.479
0.798	16.479
0.799	16.479
0.800	16.785
0.801	16.785
0.800	16.785
0.799	15.869
0.798	13.733
0.797	13.733
0.796	13.733
0.795	13.733
0.794	13.733
0.793	13.428
0.792	13.428
0.791	13.428
0.790	13.428
0.789	13.428
0.788	13.428
0.787	13.428
0.786	13.428
0.785	13.428
0.784	13.428
0.783	13.428
0.782	13.428
0.781	12.817
0.780	12.817
0.779	13.123
0.778	13.123
0.777	13.123
0.776	13.123
0.775	13.123
0.774	13.123
0.773	13.123
0.772	13.123
0.771	13.123
0.770	13.123
0.769	12.817
0.768	12.817
0.767	13.123
0.766	13.123
0.765	13.123
0.764	12.817
0.763	12.817
0.762	12.817
0.761	12.817
0.760	12.817
0.759	12.817
0.758	12.817
0.757	12.512
0.756	12.512
0.755	12.817
0.754	12.817
0.753	12.817
0.752	12.512
0.751	12.512
0.750	12.817
0.749	12.817
0.748	12.817
0.747	12.512
0.746	12.512
0.745	12.512
0.744	12.512
0.743	12.512
0.742	12.512
0.741	12.512
0.740	12.512
0.739	12.512
0.738	12.817
0.737	12.817
0.736	12.512
0.735	12.512
0.734	12.512
0.733	12.512
0.732	12.512
0.731	12.512
0.730	12.512
0.729	12.512
0.728	12.512
0.727	12.512
0.726	12.512
0.725	12.207
0.724	12.207
0.723	12.207
0.722	12.207
0.721	12.512
0.720	12.512
0.719	12.512
0.718	12.207
0.717	12.207
0.716	12.207
0.715	12.207
0.714	12.512
0.713	12.207
0.712	12.207
0.711	12.512
0.710	12.512
0.709	12.512
0.708	12.207
0.707	12.207
0.706	12.207
0.705	12.207
0.704	12.207
0.703	12.207
0.702	12.207
0.701	12.207
0.700	12.207
0.699	12.207
0.698	12.207
0.697	12.512
0.696	12.207
0.695	12.207
0.694	12.207
0.693	12.207
0.692	12.512
0.691	12.207
0.690	12.207
0.689	12.207
0.688	12.207
0.687	12.207
0.686	12.207
0.685	12.207
0.684	11.902
0.683	11.902
0.682	12.207
0.681	12.207
0.680	12.207
0.679	11.902
0.678	11.902
0.677	12.207
0.676	12.207
0.675	12.207
0.674	12.207
0.673	12.207
0.672	12.207
0.671	12.207
0.670	12.207
0.669	12.207
0.668	12.207
0.667	11.902
0.666	11.902
0.665	12.207
0.664	12.207
0.663	12.207
0.662	11.902
0.661	11.902
0.660	11.902
0.659	11.902
0.658	12.207
0.657	11.902
0.656	11.902
0.655	11.902
0.654	11.902
0.653	11.902
0.652	11.902
0.651	11.902
0.650	11.902
0.649	11.902
0.648	11.902
0.647	11.902
0.646	12.207
0.645	11.902
0.644	11.902
0.643	11.902
0.642	11.902
0.641	12.207
0.640	11.902
0.639	11.902
0.638	11.902
0.637	11.902
0.636	11.902
0.635	11.902
0.634	11.902
0.633	11.902
0.632	11.902
0.631	11.902
0.630	11.902
0.629	11.902
0.628	11.902
0.627	11.902
0.626	11.902
0.625	11.902
0.624	11.902
0.623	11.902
0.622	11.902
0.621	11.597
0.620	11.597
0.619	11.902
0.618	11.902
0.617	11.902
0.616	11.597
0.615	11.597
0.614	11.597
0.613	11.597
0.612	11.902
0.611	11.597
0.610	11.597
0.609	11.597
0.608	11.597
0.607	11.902
0.606	11.597
0.605	11.597
0.604	11.902
0.603	11.902
0.602	11.902
0.601	11.902
0.600	11.902
0.599	11.902
0.598	11.902
0.597	11.902
0.596	11.597
0.595	11.597
0.594	11.597
0.593	11.597
0.592	11.597
0.591	11.597
0.590	11.902
0.589	11.597
0.588	11.597
0.587	11.597
0.586	11.597
0.585	11.902
0.584	11.902
0.583	11.597
0.582	11.597
0.581	11.597
0.580	11.597
0.579	11.597
0.578	11.902
0.577	11.597
0.576	11.597
0.575	11.597
0.574	11.597
0.573	11.597
0.572	11.597
0.571	11.597
0.570	11.597
0.569	11.597
0.568	11.902
0.567	11.597
0.566	11.597
0.565	11.597
0.564	11.597
0.563	11.597
0.562	11.597
0.561	11.597
0.560	11.597
0.559	11.597
0.558	11.597
0.557	11.597
0.556	11.597
0.555	11.597
0.554	11.597
0.553	11.292
0.552	11.292
0.551	11.597
0.550	11.597
0.549	11.597
0.548	11.597
0.547	11.597
0.546	11.292
0.545	11.292
0.544	11.902
0.543	11.597
0.542	11.597
0.541	11.597
0.540	11.597
0.539	11.902
0.538	11.597
0.537	11.597
0.536	11.597
0.535	11.597
0.534	11.597
0.533	11.597
0.532	11.597
0.531	11.292
0.530	11.292
0.529	11.597
0.528	11.597
0.527	11.597
0.526	11.597
0.525	11.597
0.524	11.597
0.523	11.597
0.522	11.597
0.521	11.292
0.520	11.292
0.519	11.597
0.518	11.597
0.517	11.597
0.516	11.597
0.515	11.597
0.514	11.292
0.513	11.292
0.512	11.597
0.511	11.597
0.510	11.597
0.509	11.292
0.508	11.292
0.507	11.597
0.506	11.597
0.505	11.597
0.504	11.597
0.503	11.597
0.502	11.597
0.501	11.597
0.500	11.597
0.499	11.597
0.498	11.597
0.497	11.597
0.496	11.597
0.495	11.597
0.494	11.597
