,Quart 1/4,Quart 1/2,Quart 3/4,Alpha,KappaNaught,1/4 solved h,1/4 fsolve check (should be zero),1/2 solved h,1/2 fsolve check,3/4 solved h,3/4 fsolve check,dE 1/4 (mV),dE 3/4 (mV),dE 1/2 (mV),E1/4 - E 3/4 (mV)
57,0.25,0.5,0.75,0.2,15.049999999999999,10.023898027742733,-0.0,6.207066602668084,-0.0,5.268341712833051,-0.0,27.140572182738275,-34.56761698126324,2.557811802189814,61.70818916400152
58,0.25,0.5,0.75,0.2,16.04,10.697730246694965,0.0,6.626205381265612,0.0,5.615561506283905,0.0,27.204586691542755,-34.176059827351665,2.4054917683899872,61.38064651889442
59,0.25,0.5,0.75,0.2,17.029999999999998,11.371640063593144,0.0,7.045447225979787,0.0,5.962971125109114,0.0,27.261362623665093,-33.83039327256047,2.2704101678891293,61.091755896225564
60,0.25,0.5,0.75,0.2,18.02,12.045615912428902,-0.0,7.464777342850241,-0.0,6.310540308913328,0.0,27.31206490486865,-33.5229397489133,2.1497817778427604,60.83500465378195
61,0.25,0.5,0.75,0.2,19.009999999999998,12.71964841707083,0.0,7.8841836529420055,-0.0,6.658244999811905,0.0,27.35762071447807,-33.2476529429837,2.0413933607148738,60.605273657461765
62,0.25,0.5,0.75,0.2,20.0,13.393729896344981,-0.0,8.303656193795725,0.0,7.00606581193547,0.0,27.398777299618082,-32.99970466934115,1.9434634718103816,60.39848196895923
63,0.25,0.5,0.75,0.30000000000000004,0.2,5.0,7.0,5.0,5.0,5.0,3.0,26.16801174394681,-34.90803625774402,3.1303901600254305,61.076048001690836
64,0.25,0.5,0.75,0.30000000000000004,1.19,0.5965655421100019,-0.0,0.4689402530541474,0.0,5.0,3.0,15.569973089614384,-34.90803625774402,29.033974593209738,50.47800934735841
65,0.25,0.5,0.75,0.30000000000000004,2.18,1.1828369632280964,0.0,0.8571935060411205,0.0,1.084523365414249,0.0,21.047090939382237,-66.80780311327541,15.752766778100812,87.85489405265764
66,0.25,0.5,0.75,0.30000000000000004,3.17,1.7771245624706027,-0.0,1.263426724466167,0.0,1.4216785174791213,0.0,23.13081669656053,-54.30013874688646,10.98585879211373,77.43095544344699
67,0.25,0.5,0.75,0.30000000000000004,4.16,2.374811121153039,0.0,1.6751500028046171,-0.0,1.7848758315744755,0.0,24.251650908174256,-47.97270227685348,8.499443919527696,72.22435318502774
68,0.25,0.5,0.75,0.30000000000000004,5.15,2.9743806566526336,0.0,2.089464016292831,-0.0,2.158638667173828,-0.0,24.95849025116201,-44.160911629208876,6.95792588320875,69.11940188037089
69,0.25,0.5,0.75,0.30000000000000004,6.14,3.575124848400934,0.0,2.5052702749350817,0.0,2.5376348115840153,-0.0,25.447352751754472,-41.607473516376515,5.902413885588499,67.054826268131
70,0.25,0.5,0.75,0.30000000000000004,7.13,4.17665674323846,0.0,2.922036925846998,0.0,2.9195974025196256,-0.0,25.806590837165654,-39.77322673649,5.131512293546201,65.57981757365566
71,0.25,0.5,0.75,0.30000000000000004,8.12,4.778744301259681,0.0,3.3394667208493867,0.0,3.303406354095725,0.0,26.0821832599517,-38.38926406643456,4.542371918026846,64.47144732638627
72,0.25,0.5,0.75,0.30000000000000004,9.11,5.3812391184322586,0.0,3.7573773192138,0.0,3.6884451217659073,-0.0,26.30052841854469,-37.30640299156069,4.076740720526477,63.606931410105375
73,0.25,0.5,0.75,0.30000000000000004,10.1,5.984041583460122,0.0,4.175649341733794,0.0,4.074345978557194,0.0,26.477909944578805,-36.435123201018186,3.6990435332615945,62.91303314559699
74,0.25,0.5,0.75,0.30000000000000004,11.09,6.587082241570789,-0.0,4.594200769979261,0.0,4.460875656714325,0.0,26.62493811672101,-35.71837912996629,3.3862714866463364,62.3433172466873
75,0.25,0.5,0.75,0.30000000000000004,12.079999999999998,7.190311140201905,0.0,5.012973113095576,0.0,4.847878801470693,0.0,26.74883257081023,-35.118054246080796,3.1228557294952637,61.866886816891025
76,0.25,0.5,0.75,0.30000000000000004,13.069999999999999,7.793691412207153,-0.0,5.431923395637768,-0.0,5.2352477960831605,-0.0,26.854681563573198,-34.607684619933806,2.8978700644641906,61.462366183507
77,0.25,0.5,0.75,0.30000000000000004,14.059999999999999,8.397195244291902,0.0,5.851019258454499,0.0,5.622905636850165,-0.0,26.94617717376665,-34.16830621497169,2.7034119768603473,61.11448338873834
78,0.25,0.5,0.75,0.30000000000000004,15.049999999999999,9.000801253218913,-0.0,6.270235829836276,-0.0,6.010795708823194,0.0,27.02606497439243,-33.78596401808815,2.533619414049044,60.81202899248058
79,0.25,0.5,0.75,0.30000000000000004,16.04,9.604492726317124,0.0,6.689553654493176,-0.0,6.398875416868283,0.0,27.096429973611468,-33.45015451928744,2.3840491670783757,60.5465844928989
80,0.25,0.5,0.75,0.30000000000000004,17.029999999999998,10.20825641071467,-0.0,7.108957281011595,0.0,6.7871120728059475,0.0,27.158884547198422,-33.152816829162894,2.2512702430028453,60.31170137636131
81,0.25,0.5,0.75,0.30000000000000004,18.02,10.812081661164287,-0.0,7.528434273510268,0.0,7.175480156002857,0.0,27.214695516790933,-32.88765906555377,2.1325899728678346,60.1023545823447
82,0.25,0.5,0.75,0.30000000000000004,19.009999999999998,11.415959828205741,0.0,7.947974504683271,0.0,7.56395943911071,0.0,27.26487223065522,-32.649696600432556,2.0258647783543124,59.91456883108778
83,0.25,0.5,0.75,0.30000000000000004,20.0,12.019883811041202,-0.0,8.367569640276079,-0.0,7.952533675215744,-0.0,27.310228955232624,-32.43492814903984,1.9293664841384857,59.745157104272465
84,0.25,0.5,0.75,0.4,0.2,5.0,8.0,5.0,5.0,5.0,3.0,26.16801174394681,-34.90803625774402,3.1303901600254305,61.076048001690836
85,0.25,0.5,0.75,0.4,1.19,0.5576213713811866,0.0,0.5164973626254342,-0.0,0.9248626482687965,0.0,14.845784948063933,-80.6168740937124,26.12357605434126,95.46265904177633
86,0.25,0.5,0.75,0.4,2.18,1.0829919770065444,0.0,0.9100453745303989,0.0,1.2698554843493506,0.0,20.499150101566375,-58.58209026389802,14.887082982427666,79.0812403654644
87,0.25,0.5,0.75,0.4,3.17,1.6156832661452825,-0.0,1.3185761992104452,0.0,1.6679734595433884,0.0,22.702174108674363,-49.612340352090726,10.565175996184749,72.31451446076508
88,0.25,0.5,0.75,0.4,4.16,2.1513531264191643,-0.0,1.731848721829377,-0.0,2.08366249048315,-0.0,23.8984728785112,-44.79475722904393,8.246942861239996,68.69323010755514
89,0.25,0.5,0.75,0.4,5.15,2.6886503786773077,0.0,2.1473282136095233,-0.0,2.506861778230335,-0.0,24.657237509206457,-41.78232983205331,6.787908927560555,66.43956734125976
90,0.25,0.5,0.75,0.4,6.14,3.2269603386640497,0.0,2.5640530044999235,0.0,2.9338909164293643,0.0,25.18418418494321,-39.714681964385214,5.779404390749601,64.89886614932843
91,0.25,0.5,0.75,0.4,7.13,3.765950620083605,-0.0,2.9815645023693937,0.0,3.3631202526841943,0.0,25.57266180472709,-38.204158660760946,5.038028585044117,63.776820465488036
92,0.25,0.5,0.75,0.4,8.12,4.305422415079309,0.0,3.3996110211024786,0.0,3.7937249735665795,0.0,25.87147398894354,-37.05038812109046,4.468739023055228,62.921862110034
93,0.25,0.5,0.75,0.4,9.11,4.845248456552345,-0.0,3.818040768201119,0.0,4.225245053011548,-0.0,26.108741133579358,-36.139224409839436,4.017141500153728,62.24796554341879
94,0.25,0.5,0.75,0.4,10.1,5.385343108578856,0.0,4.236755814321235,-0.0,4.657404397981557,-0.0,26.30186030333032,-35.400768233629556,3.649756281156384,61.70262853695988
95,0.25,0.5,0.75,0.4,11.09,5.925646473957264,0.0,4.655689705706876,0.0,5.090027548673228,0.0,26.462196054330967,-34.789761154200185,3.344797345706076,61.25195720853115
96,0.25,0.5,0.75,0.4,12.079999999999998,6.4661153306069545,0.0,5.074795538886508,0.0,5.522997768506562,0.0,26.597498523872137,-34.27557211244937,3.0874508431071175,60.8730706363215
97,0.25,0.5,0.75,0.4,13.069999999999999,7.006717673214123,0.0,5.494039148574971,0.0,5.956234421244103,0.0,26.713240736329983,-33.836709477451855,2.867278389579475,60.54995021378184
98,0.25,0.5,0.75,0.4,14.059999999999999,7.547429279497885,0.0,5.913394995192278,0.0,6.389680038530768,-0.0,26.813401089692317,-33.45763688706897,2.6767046686841316,60.27103797676129
99,0.25,0.5,0.75,0.4,15.049999999999999,8.0882314710012,-0.0,6.332843568365836,0.0,6.823292566403383,-0.0,26.900942895002355,-33.126836777820245,2.5100940858106333,60.027779672822604
100,0.25,0.5,0.75,0.4,16.04,8.629109607893275,0.0,6.75236968568821,0.0,7.25704052619901,-0.0,26.978119858059305,-32.83558527651733,2.363164403200609,59.81370513457664
101,0.25,0.5,0.75,0.4,17.029999999999998,9.170052050516057,0.0,7.171961342755346,0.0,7.690899888830982,0.0,27.046677187006967,-32.57715064084778,2.232601708424588,59.623827827854754
102,0.25,0.5,0.75,0.4,18.02,9.711049426561297,-0.0,7.591608914882536,0.0,8.124851994902171,0.0,27.107987787743888,-32.34625340747052,2.1158002096366286,59.45424119521441
103,0.25,0.5,0.75,0.4,19.009999999999998,10.25209410354735,0.0,8.011304590055419,0.0,8.55888213435326,-0.0,27.163146798504155,-32.13869351604488,2.010681936511664,59.30184031454904
